Christopher Lee	Star Wars: Episode II - Attack of the Clones
Christopher Lloyd	Who Framed Roger Rabbit
Christopher Lloyd	Back to the Future
Christopher Plummer	Beautiful Mind, A
Christopher Plummer	Syriana
Christopher Plummer	Beginners
Christopher Plummer	Sound of Music, The
Christopher Plummer	Up
Christopher Reeve	Superman
Christopher Walken	Click
Christopher Walken	Batman Returns
Christopher Walken	Wedding Crashers
Christopher Walken	Deer Hunter, The
Christopher Walken	Catch Me If You Can
Chuck Pfeiffer	Wall Street
Claire Bloom	Charly
Claire Danes	Terminator 3: Rise of the Machines
Claire Trevor	Stagecoach
Claire Trevor	Key Largo
Clara Bow	Wings
Clark Gable	Mutiny on the Bounty
Clark Gable	It Happened One Night
Clark Gable	Free Soul, A
Claude Rains	Casablanca
Claudette Colbert	It Happened One Night
Claudia Gerini	Passion of the Christ, The
Clea DuVall	Girl, Interrupted
Cliff Edwards	Sin of Madelon Claudet, The
Cliff Osmond	Fortune Cookie, The
Cliff Robertson	Charly
Cliff Robertson	Spider-Man
Clifton Powell	Ray
Clifton Webb	Razors Edge, The
Clint Eastwood	Gran Torino
Clint Eastwood	Unforgiven
Clint Eastwood	Million Dollar Baby
Clive Brook	Cavalcade
Cloris Leachman	Last Picture Show, The
Cole Sprouse	Big Daddy
Colin Farrell	Minority Report
Colin Firth	The Kings Speech
Colin Firth	Mamma Mia!
Colin Hanks	King Kong
Connie Nielsen	Gladiator
Conrad Veidt	Casablanca
Corinne Griffith	Divine Lady, The
Cornel Wilde	Greatest Show on Earth, The
Craig Archibald	Capote
Craig Ferguson	How to Train Your Dragon
Craig T. Nelson	The Incredibles
Craig T. Nelson	The Proposal
Craig T. Nelson	Killing Fields, The
Crispin Glover	Back to the Future
Crispin Glover	Alice in Wonderland
Cuba Gooding Jr.	Jerry Maguire
Cuba Gooding Jr.	As Good As It Gets
Cuba Gooding Jr.	Pearl Harbor
Cybill Shepherd	Last Picture Show, The
Cynthia Nixon	Sex and the City
D.B. Sweeney	Dinosaur
Dabney Coleman	On Golden Pond
Dabney Coleman	Tootsie
Dakota Fanning	War of the Worlds
Dallas Roberts	Walk the Line
Dame May Whitty	Mrs. Miniver
Dame May Whitty	Gaslight
Dame May Whitty	Suspicion
Dan Aykroyd	Ghostbusters
Dan Aykroyd	Driving Miss Daisy
Dan Castellaneta	The Simpsons Movie
Dana Andrews	Best Years of Our Lives, The
Daniel Craig	Quantum of Solace
Daniel Craig	Casino Royale
Daniel Craig	Lara Croft: Tomb Raider
Daniel Day-Lewis	There Will Be Blood
Daniel Day-Lewis	My Left Foot
Daniel Gerroll	Chariots of Fire
Daniel London	Patch Adams
Daniel Radcliffe	Harry Potter and the Half-Blood Prince
Daniel Radcliffe	Harry Potter and the Sorcerers Stone
Daniel Radcliffe	Harry Potter and the Prisoner of Azkaban
Daniel Radcliffe	Harry Potter and the Goblet of Fire
Daniel Radcliffe	Harry Potter and the Deathly Hallows: Part 1
Daniel Radcliffe	Harry Potter and the Order of the Phoenix
Daniel Radcliffe	Harry Potter and the Chamber of Secrets
Daniel Radcliffe	Harry Potter and the Deathly Hallows: Part 2
Daniel Stern	Home Alone 2: Lost in New York
Daniel Stern	Home Alone
Daniel Stern	City Slickers
Daniele Harford	The Constant Gardener
Danielle Skraastad	Michael Clayton
Danny Aiello	Moonstruck
Danny DeVito	The Lorax
Danny DeVito	Terms of Endearment
Danny DeVito	Batman Returns
Danny Glover	Lethal Weapon 2
Danny Glover	Lethal Weapon 4
Danny Glover	Dreamgirls
Danny Glover	Lethal Weapon 3
Danny Huston	X-Men Origins: Wolverine
Danny Huston	The Constant Gardener
Dash Mihok	The Day After Tomorrow
Dato Bakhtadze	Crash
Dave Foley	A Bugs Life
Dave Sheridan	Scary Movie
Daveigh Chase	Lilo & Stitch
David Allen Brooks	Cast Away
David Andrews	Terminator 3: Rise of the Machines
David Aston	Lord of the Rings: The Return of the King, The
David Brisbin	Erin Brockovich
David Butler	Seventh Heaven
David Cross	Alvin and the Chipmunks
David Cross	Alvin and the Chipmunks: The Squeakquel
David Forman	Teenage Mutant Ninja Turtles
David Gulpilil	Crocodile Dundee
David Hasselhoff	Click
David Keith	Officer and a Gentleman, An
David Kelly	Charlie and the Chocolate Factory
David Kross	The Reader
David Krumholtz	Santa Clause, The
David Krumholtz	Santa Clause 2, The
David Morse	Rock, The
David Morse	Green Mile, The
David Niven	Around the World in Eighty Days
David Niven	Separate Tables
David Ogden Stiers	Lilo & Stitch
David Ogden Stiers	Beauty and the Beast
David Ogden Stiers	Pocahontas
David Ogden Stiers	Accidental Tourist, The
David Schwimmer	Madagascar
David Schwimmer	Madagascar: Escape 2 Africa
David Schwimmer	Madagascar 3: Europes Most Wanted
David Spade	Grown Ups
David Strathairn	The Bourne Ultimatum
David Tennant	Harry Potter and the Goblet of Fire
David Tomlinson	Mary Poppins
David Trimble	Brokeback Mountain
David Warshofsky	Taken
David Wayne	Three Faces of Eve, The
David Wenham	300
Dawn Didawick	Erin Brockovich
Dean Jagger	Twelve OClock High
Dean Jagger	Elmer Gantry
Dean Martin	Airport
Deborah Kerr	King and I, The
Deborah Kerr	Separate Tables
Deborah Kerr	From Here to Eternity
Debra Winger	Officer and a Gentleman, An
Debra Winger	Terms of Endearment
Declan Croghan	My Left Foot
Dee Wallace-Stone	E.T. the Extra-Terrestrial
Delroy Lindo	Ransom
Delroy Lindo	Up
Delroy Lindo	Cider House Rules, The
Demi Moore	Ghost
Demi Moore	Few Good Men, A
Denholm Elliott	Indiana Jones and the Last Crusade
Denis Leary	Ice Age
Denis Leary	Ice Age: The Meltdown
Denis Leary	The Amazing Spider-Man
Dennis Morgan	Kitty Foyle: The Natural History of a Woman
Dennis Quaid	The Day After Tomorrow
Denzel Washington	Philadelphia
Denzel Washington	Training Day
Denzel Washington	Glory
Derek Jacobi	The Kings Speech
Derrick OConnor	Lethal Weapon 2
Dev Patel	Slumdog Millionaire
Diana Scarwid	What Lies Beneath
Diana Wynyard	Cavalcade
Diane Keaton	Reds
Diane Keaton	Annie Hall
Diane Keaton	Godfather: Part II, The
Diane Kruger	National Treasure: Book of Secrets
Diane Kruger	National Treasure
Diane Lane	Perfect Storm, The
Dianne Wiest	Hannah and Her Sisters
Dianne Wiest	Bullets Over Broadway
Dick Powell	Bad and the Beautiful, The
Dick Van Dyke	Mary Poppins
Dick Van Dyke	Night at the Museum
Diego Luna	Milk
Dina Merrill	BUtterfield 8
Dirk Bogarde	Darling
Domingo Landicho	Year of Living Dangerously, The
Dominic West	300
Dominique Louis	The Incredibles
Don Ameche	Cocoon
Don Ameche	In Old Chicago
Don Cheadle	Iron Man 2
Don Cheadle	Crash
Don Dillaway	Min and Bill
Don Knotts	Chicken Little
Don Rickles	Toy Story 3
